training_error
0.025000000000000022
testing_error
0.033333333333333326
w_of_setosa
0.1470921538569827,-0.35087697165863063,0.7189940004257296,0.3420055299780926
b_of_setosa
support_vector_indices_of_setosa
5.4,3.4,1.7,0.2
5.1,3.3,1.7,0.5
4.8,3.4,1.9,0.2
5.0,3.0,1.6,0.2
4.5,2.3,1.3,0.3
5.1,3.8,1.9,0.4
5.0,2.0,3.5,1.0
5.6,2.9,3.6,1.3
5.7,2.6,3.5,1.0
5.0,2.3,3.3,1.0
5.1,2.5,3.0,1.1
w_of_versicolor
0.1556737269659536,0.5856476364282228,-0.18909300053281308,0.2678499087518451
b_of_versicolor
support_vector_indices_of_versicolor
5.0,2.0,3.5,1.0
5.9,3.0,4.2,1.5
6.0,2.2,4.0,1.0
6.1,2.9,4.7,1.4
5.6,2.9,3.6,1.3
6.7,3.1,4.4,1.4
5.6,3.0,4.5,1.5
5.8,2.7,4.1,1.0
6.2,2.2,4.5,1.5
5.6,2.5,3.9,1.1
5.9,3.2,4.8,1.8
6.1,2.8,4.0,1.3
6.3,2.5,4.9,1.5
6.1,2.8,4.7,1.2
6.4,2.9,4.3,1.3
6.6,3.0,4.4,1.4
6.8,2.8,4.8,1.4
6.7,3.0,5.0,1.7
6.0,2.9,4.5,1.5
5.7,2.6,3.5,1.0
5.5,2.4,3.8,1.1
5.5,2.4,3.7,1.0
5.8,2.7,3.9,1.2
6.0,2.7,5.1,1.6
5.4,3.0,4.5,1.5
6.0,3.4,4.5,1.6
6.7,3.1,4.7,1.5
6.3,2.3,4.4,1.3
5.6,3.0,4.1,1.3
5.5,2.5,4.0,1.3
5.5,2.6,4.4,1.2
6.1,3.0,4.6,1.4
5.8,2.6,4.0,1.2
5.0,2.3,3.3,1.0
5.6,2.7,4.2,1.3
5.7,3.0,4.2,1.2
5.7,2.9,4.2,1.3
6.2,2.9,4.3,1.3
5.1,2.5,3.0,1.1
5.7,2.8,4.1,1.3
4.8,3.0,1.4,0.1
4.3,3.0,1.1,0.1
4.8,3.4,1.9,0.2
5.0,3.0,1.6,0.2
4.7,3.2,1.6,0.2
4.8,3.1,1.6,0.2
4.9,3.1,1.5,0.1
4.9,3.1,1.5,0.1
4.4,3.0,1.3,0.2
4.5,2.3,1.3,0.3
4.4,3.2,1.3,0.2
4.8,3.0,1.4,0.3
4.6,3.2,1.4,0.2
6.4,2.7,5.3,1.9
6.8,3.0,5.5,2.1
5.7,2.5,5.0,2.0
5.8,2.8,5.1,2.4
6.5,3.0,5.5,1.8
7.7,2.6,6.9,2.3
6.0,2.2,5.0,1.5
5.6,2.8,4.9,2.0
7.7,2.8,6.7,2.0
6.3,2.7,4.9,1.8
7.2,3.2,6.0,1.8
6.2,2.8,4.8,1.8
6.1,3.0,4.9,1.8
6.4,2.8,5.6,2.1
7.2,3.0,5.8,1.6
7.4,2.8,6.1,1.9
6.4,2.8,5.6,2.2
6.3,2.8,5.1,1.5
6.1,2.6,5.6,1.4
7.7,3.0,6.1,2.3
6.4,3.1,5.5,1.8
6.0,3.0,4.8,1.8
6.9,3.1,5.4,2.1
5.8,2.7,5.1,1.9
6.7,3.0,5.2,2.3
6.3,2.5,5.0,1.9
6.5,3.0,5.2,2.0
5.9,3.0,5.1,1.8
w_of_virginica
-0.091940284952442,0.0871641839455558,-1.1056716321088853,-0.8991044688979968
b_of_virginica
support_vector_indices_of_virginica
6.5,3.2,5.1,2.0
6.4,2.7,5.3,1.9
5.7,2.5,5.0,2.0
5.8,2.8,5.1,2.4
6.5,3.0,5.5,1.8
6.0,2.2,5.0,1.5
5.6,2.8,4.9,2.0
6.3,2.7,4.9,1.8
6.2,2.8,4.8,1.8
6.1,3.0,4.9,1.8
6.3,2.8,5.1,1.5
6.1,2.6,5.6,1.4
6.4,3.1,5.5,1.8
6.0,3.0,4.8,1.8
6.9,3.1,5.4,2.1
6.9,3.1,5.1,2.3
5.8,2.7,5.1,1.9
6.7,3.0,5.2,2.3
6.3,2.5,5.0,1.9
6.5,3.0,5.2,2.0
5.9,3.0,5.1,1.8
5.9,3.0,4.2,1.5
6.1,2.9,4.7,1.4
6.7,3.1,4.4,1.4
5.6,3.0,4.5,1.5
6.2,2.2,4.5,1.5
5.9,3.2,4.8,1.8
6.3,2.5,4.9,1.5
6.1,2.8,4.7,1.2
6.4,2.9,4.3,1.3
6.6,3.0,4.4,1.4
6.8,2.8,4.8,1.4
6.7,3.0,5.0,1.7
6.0,2.9,4.5,1.5
6.0,2.7,5.1,1.6
5.4,3.0,4.5,1.5
6.0,3.4,4.5,1.6
6.7,3.1,4.7,1.5
6.3,2.3,4.4,1.3
5.5,2.6,4.4,1.2
6.1,3.0,4.6,1.4
6.2,2.9,4.3,1.3
